iteration,timestamp,T41_LEVEL,T42_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J6_LEVEL,J7_LEVEL,J8_LEVEL,J9_LEVEL,J10_LEVEL,J11_LEVEL,J12_LEVEL,J13_LEVEL,J14_LEVEL,J15_LEVEL,J16_LEVEL,J17_LEVEL,J18_LEVEL,J19_LEVEL,J20_LEVEL,J21_LEVEL,J22_LEVEL,P78_FLOW,P78_STATUS,P79_FLOW,P79_STATUS
39,2022-05-05 18:41:30.244419,7.7637095648718395,7.7547283792805,68.20907012129645,59.06522693165758,59.060843528067444,59.059044820554846,49.90009471972864,49.90008433968637,49.90008149277276,49.91422496143357,37.72232617059275,37.73119581571219,37.73118196275061,59.06715274960828,59.06539173759266,59.08748044818234,59.06252582596344,37.72716547911281,37.741688939889265,59.06434833187776,59.06319159936654,68.2090701212963,59.0894228464563,37.74352532248627,0.0,0.0,0.0,0.0
40,2022-05-05 18:41:30.806988,7.733244846883296,7.724645091767289,68.17879569307723,59.0349294828742,59.030565978738274,59.028780471556345,49.86986883230655,49.869859767356466,49.86985727963256,49.88401932978779,37.6921503521778,37.70117141158811,37.70114908035346,59.03709489634728,59.03510215673427,59.0567793069904,59.03224357363184,37.69692065992476,37.711842640922725,59.03412302264613,59.032929869958814,68.1787956930771,59.05869045340766,37.71370970860368,0.0,0.0,0.0,0.0
41,2022-05-05 18:41:31.336977,7.702891364868315,7.694450532617888,68.14851953482348,59.004644235117574,59.00028900097641,58.99850897457918,49.839613136713155,49.83960458863726,49.839602242175566,49.853771938510164,37.66191661347121,37.671002068854705,37.670975982133896,59.00690994076466,59.004820140805535,59.02632762151386,59.001964495655216,37.66665611061401,37.681746415466684,59.00386736292688,59.002660398774786,68.14851953482335,59.028225864453916,37.68362629299202,0.0,0.0,0.0,0.0
42,2022-05-05 18:41:31.916842,7.672584220331068,7.6642096426580455,68.11824431839607,58.97436530940002,58.970013510613775,58.968235759955576,49.8093464622541,49.80933812407877,49.80933583499799,49.82350869760252,37.63165928321854,37.64077180894624,37.64074411832984,58.97667289822013,58.97454255420457,58.9959795564579,58.971688093281095,37.63638553485408,37.651546457269866,58.97360067396695,58.9723882378601,68.11824431839594,58.997872436072186,37.65343168038673,0.0,0.0,0.0,0.0
43,2022-05-05 18:41:32.573836,7.642296392911936,7.633949440413634,68.08796976562752,58.94408921999305,58.93973885217769,58.937962049249535,49.77907547288005,49.77906722153778,49.7790649561965,49.79323913586426,37.6013922130549,37.610516053267325,37.61048768942326,58.94641428194858,58.94426702226957,58.96567466867057,58.9414130500869,37.60611288973205,37.62130331533053,58.943329674589734,58.94211499553618,68.08796976562739,58.96756531387896,37.62319076813007,0.0,0.0,0.0,0.0
44,2022-05-05 18:41:33.222769,7.612016624421835,7.603681192579468,68.05769551087764,58.91381433042679,58.909464556754926,58.90768814714073,49.74880270037788,49.74879448469054,49.748792229098434,49.762966954997644,37.57112109177056,37.580249670142855,37.58022102250007,58.916146682422934,58.913992364109895,58.935387781618516,58.911138588276344,37.57583940306721,37.59104217378159,58.91305689546459,58.91184131130407,68.05769551087751,58.93727749577042,37.592930556585586,0.0,0.0,0.0,0.0
45,2022-05-05 18:41:33.892712,7.581740214614648,7.573409587330625,68.02742139849185,58.883539953810796,58.8791904289944,58.87741418401892,49.71852920957207,49.71852100879909,49.71851875728493,49.73269371089194,37.54084828861669,37.54997884218354,37.54995007621918,58.88587534797118,58.88371808426868,58.90510840510026,58.88086439253328,37.545565614868174,37.56077353403288,58.88278340102518,58.881567438450716,68.02742139849173,58.90699773116124,37.562662304871104,0.0,0.0,0.0,0.0
46,2022-05-05 18:41:34.503859,7.551465196003437,7.543136572835129,67.99714732513695,58.85326577342436,58.84891635567138,58.84714018142586,49.68825540649621,49.68824721201246,49.68824496221796,49.70242001134301,37.51057477343063,37.51970615311138,37.51967733720467,58.85560244560841,58.853443945159256,58.87483215766079,58.85059029567456,37.51529168756726,37.53050176429605,58.85250959452534,58.85129347522649,67.99714732513684,58.87672132296167,37.53239069799364,0.0,0.0,0.0,0.0
47,2022-05-05 18:41:35.066667,7.521190759533478,7.512862972487432,67.96687328509594,58.82299168829782,58.81864231496962,58.816866169967795,49.65798147844833,49.65797328657978,49.65797103750034,49.67214612588204,37.48030096475268,37.48943268820549,37.48940385156018,58.82532889209046,58.823169877102586,58.84455720700013,58.82031624437312,37.48501770706993,37.500228681420474,58.82223566454162,58.821019479671904,67.96687328509582,58.84644630502318,37.50211768282111,0.0,0.0,0.0,0.0
48,2022-05-05 18:41:35.584083,7.490916582454541,7.482589143780036,67.93659929473203,58.79271767402444,58.7883683145157,58.78659217848721,49.62770751897952,49.627699328099304,49.62769707929009,49.64187218202511,37.450027051876155,37.4591589136438,37.45913006935156,58.79505508421955,58.79289586844362,58.8142828008009,58.79004223159405,37.45474372474577,37.46995505441618,58.79196170557063,58.79074549123025,67.93659929473189,58.816171868852976,37.471844082209515,0.0,0.0,0.0,0.0
49,2022-05-05 18:41:36.203245,7.438899941514916,7.424760415738908,67.86670402854934,58.7227693513466,58.71003591985072,58.70492966561882,49.51673422791467,49.51672632218131,49.51672414374985,49.55976450794056,37.36909873080792,37.39965207929834,37.399365922472846,58.734380126347986,58.72341476251586,58.78071759781762,58.71494821684257,37.38176255702919,37.435263379426075,58.72171205060909,58.71739874302394,67.8667040285492,58.78586510735912,37.441526512449784,0.0,0.0,0.0,0.0
50,2022-05-05 18:41:36.932335,7.385883715181136,7.3679312733393925,67.8120324207879,58.66817662260027,58.65531147669121,58.65011858088138,49.46170157335236,49.46168898788647,49.461685524308244,49.50461727512388,37.31360021341375,37.34307102825482,37.34285854456343,58.67817449384899,58.668793268348786,58.728514415742204,58.6602788326806,37.32682331509455,37.3776356614476,58.666713580582396,58.66264974586372,67.81203242078779,58.73384661947759,37.383699774607315,0.0,0.0,0.0,0.0
51,2022-05-05 18:41:37.652288,7.332207909161972,7.311761721714765,67.75723195696855,58.61344101430954,58.600490127647774,58.59524069244071,49.40667282448783,49.40665649732484,49.406652007759625,49.44951009781049,37.2582915937743,37.28706914701488,37.286902869719775,58.62239669036549,58.614033320514075,58.67537344479352,58.60548721443026,37.27186635677591,37.32093752143536,58.61169962748868,58.60778975408329,67.75723195696843,58.68082915804856,37.326871929261124,0.0,0.0,0.0,0.0
